Key,Id,English(en),Korean(ko)
"Menu/Controls/HoldLabEquipment",124738595119104,"Hold Lab Equipment","실험 기구 들기"
"Menu/Controls/Interact",124296448368640,"Interact","상호작용"
"Menu/Controls/Jump",123552148152320,"Jump","점프"
"Menu/Controls/Move",119572747706368,"Move","상하좌우 이동"
"Menu/Controls/PickUpItem",124360470224896,"Pick Up Item","아이템 획득"
"Menu/Controls/Run",123262242054144,"Run","달리기"
"Menu/Controls/SwitchInventorySlot",124076733947904,"Switch Inventory Slot","인벤토리 슬롯 교체"
"Menu/Controls/ToggleItem",124638640660480,"Toggle Item On/Off","아이템 켜기/끄기 상호작용"
"Menu/Controls/ToggleMenu",123665323057152,"Open/Close Menu","메뉴 열기/닫기"
"Menu/Controls/ToggleTabMenu",123770147102720,"Open/Close Tab Menu (Map, Objectives, Notes)","탭 메뉴 (지도, 목표, 노트) 열기/닫기"
"Menu/GameSetting",115379253207040,"Setting","세팅"
"Menu/GameSetting/Difficulty",119296871555072,"Monster Difficulty","괴물 난이도"
"Menu/GameSetting/Difficulty/Easy",120281203400704,"Easy","쉬움"
"Menu/GameSetting/Difficulty/Hard",120369854210048,"Hard","어려움"
"Menu/GameSetting/Language",24920907776,"Langauge","언어"
"Menu/GameSetting/MouseSensitivity",118925054894080,"Mouse Sensitivity","마우스 감도"
"Menu/HeaderText",120687778258944,"Menu","메뉴"
"Menu/Return",118069689507840,"Return","돌아가기"
"Menu/Return/Quit",119538773843968,"Quit Game","게임 종료"
"Menu/Return/ReturnToTitle",119451372937216,"Return To Title","타이틀로 돌아가기"
"Menu/SoundSetting",117989729296384,"Sound","음향"
"Item/Name/Wetsuit",181206459539456,"Diving Suit","잠수복"
"Action/General/DropItem",183539587276800,"Drop Item","아이템 버리기"
